format is (<name> <TYPE>, <frequency>)
('orleton pembridg ORG', 1)
('orleans ORG', 1)
('orlando GPE', 1)
('orbian NORP', 1)
('only years DATE', 1)
('only two years and DATE', 1)
('only twenty five hundred CARDINAL', 1)
('only twenty CARDINAL', 1)
('only three years and odd days DATE', 1)
('only three years DATE', 1)
('only three or CARDINAL', 1)
('only three months and five days DATE', 1)
('only ten months DATE', 1)
('only six months DATE', 1)
('only four months and odd days DATE', 1)
('one whole years DATE', 1)
('one third QUANTITY', 1)
('one six foot QUANTITY', 1)
('one season of the year DATE', 1)
('one quarter DATE', 1)
('one pound QUANTITY', 1)
('one or two hours TIME', 1)
('one night TIME', 1)
('one morning TIME', 1)
('one million one hundred ninty eight thousand seven hundred and CARDINAL', 1)
('one inch QUANTITY', 1)
('one hundred thousand pounds CARDINAL', 1)
('one hundred quarters CARDINAL', 1)
('one hundred eighty five CARDINAL', 1)
('one hundred and thirty CARDINAL', 1)
('one hundred and sixty three parishes eight CARDINAL', 1)
('one hundred and sixteen parishes nine CARDINAL', 1)
('one hundred and fifty years CARDINAL', 1)
('one hundred QUANTITY', 1)
('one hours TIME', 1)
('one half fifteen TIME', 1)
('one fourth CARDINAL', 1)
('one calm hour TIME', 1)
('one and twenty years DATE', 1)
('one and an half DATE', 1)
('omar reduc PERSON', 1)
('olympii nemesiani carthaginensis notis ORG', 1)
('oliver st johns esq PERSON', 1)
('oliver st john esq henry PERSON', 1)
('old-spring-garden DATE', 1)
('ofthese NORP', 1)
('odiam william FAC', 1)
('octoberseptember DATE', 1)
('october unhealthful months DATE', 1)
('october the same year DATE', 1)
('occasio calva PERSON', 1)
('obligari ORG', 1)
('oakhampton honiton barnstaple ORG', 1)
('nunquam habuit per annum h ORG', 1)
('nunquam habuit ORG', 1)
('nullis metisrefraenatur PERSON', 1)
('nullis claustris PERSON', 1)
('noy ORG', 1)
('novembris anno PERSON', 1)
('november this day DATE', 1)
('november november DATE', 1)
('november december and january DATE', 1)
('novalia miles NORP', 1)
('novagrade antwerpe PERSON', 1)
('notitiam GPE', 1)
('nostri jacobi PERSON', 1)
('northfolk suffolk PERSON', 1)
('northampton newnham padox PERSON', 1)
('northampton brackley higham ferries northampton ORG', 1)
('north-west LOC', 1)
('north-east LOC', 1)
('north newton GPE', 1)
('normandy whither GPE', 1)
('normandy england ORG', 1)
('normandy PERSON', 1)
('norma PERSON', 1)
('norfolk wallingford-house ORG', 1)
('norfolk suffolk essex hartford ORG', 1)
('norfolk st edmondsbury ORG', 1)
('norfolk GPE', 1)
('noel bonciqualt PERSON', 1)
('nobles ORG', 1)
('no more than years DATE', 1)
('no more than two CARDINAL', 1)
('no more than nineteen CARDINAL', 1)
('no more than four CARDINAL', 1)
('no less than six hundred CARDINAL', 1)
('no less than five hundred and forty CARDINAL', 1)
('no less than fifty CARDINAL', 1)
('no day DATE', 1)
('ninteen years DATE', 1)
('nineteen degrees QUANTITY', 1)
('nineteen CARDINAL', 1)
('nine years of age DATE', 1)
('nine years and odd days DATE', 1)
('nine to twelve CARDINAL', 1)
('nine or CARDINAL', 1)
('nine miles QUANTITY', 1)
('nine inches QUANTITY', 1)
('nine hundred thousand CARDINAL', 1)
('nine hundred and twenty CARDINAL', 1)
('nine hundred and thirteen thousand four hundred sixty five pounds four CARDINAL', 1)
('nihil habuer PERSON', 1)
('nihil GPE', 1)
('night night TIME', 1)
('nicolas shetterden PERSON', 1)
('nicholas within PERSON', 1)
('nicholas trockmorton PERSON', 1)
("nicholas throckmorton's PERSON", 1)
('nicholas the PERSON', 1)
('nicholas sanderson esq PERSON', 1)
('nicholas price PERSON', 1)
('nicholas pelham PERSON', 1)
('nicholas hall ORG', 1)
('nicholas gould PERSON', 1)
('nicholas cary PERSON', 1)
('nicholas baynton esq PERSON', 1)
('nicholas bambre PERSON', 1)
('nich baynton esq PERSON', 1)
('next year DATE', 1)
('next month DATE', 1)
('next day DATE', 1)
('next council day DATE', 1)
('newton daniel finch esq ORG', 1)
("newton al' PERSON", 1)
('newton PERSON', 1)
('newport stockbridge newton ORG', 1)
('newport buckingham ORG', 1)
('newington hampton PERSON', 1)
('newcastle haddon ORG', 1)
('newburg GPE', 1)
('new-years day DATE', 1)
('new york GPE', 1)
('nevill earl PERSON', 1)
('nero ORG', 1)
('neri NORP', 1)
('neque mentiendo PERSON', 1)
('nepotibus ORG', 1)
('necessy ORG', 1)
('nec unquam post hoc parat ORG', 1)
("nec fuer' ORG", 1)
('nearer us than MONEY', 1)
('nearer CARDINAL', 1)
('neapolitan NORP', 1)
('navarr ORG', 1)
('naturaly GPE', 1)
("naturally inclin' PERSON", 1)
('nathaniel johnson PERSON', 1)
('nasa ORG', 1)
('narcissus luttrel PERSON', 1)
('namur of foot QUANTITY', 1)
('multum aqua PERSON', 1)
('multum NORP', 1)
('mulberry PERSON', 1)
('mr harris PERSON', 1)
('moylin PERSON', 1)
("mov' ORG", 1)
('mountalexander earl PERSON', 1)
('mount sinai GPE', 1)
('mortimer earl PERSON', 1)
('morris abbot PERSON', 1)
('morning noon TIME', 1)
('morgan randyl ORG', 1)
('moreton PERSON', 1)
('more than two years DATE', 1)
('more than two pence MONEY', 1)
('more than twenty years DATE', 1)
('more than twenty days DATE', 1)
('more than twenty CARDINAL', 1)
('more than three millions CARDINAL', 1)
('more than ten CARDINAL', 1)
('more than six years DATE', 1)
('more than six CARDINAL', 1)
('more than one hundred thousand CARDINAL', 1)
('more than four years DATE', 1)
('more than a year DATE', 1)
('more than a week DATE', 1)
('more than a hundred years CARDINAL', 1)
('more than a hundred pence CARDINAL', 1)
('more in few years DATE', 1)
('more hundred CARDINAL', 1)
('mordacke earl PERSON', 1)
('morbis anglorum vernaculis cum observationibus ORG', 1)
('months the other months DATE', 1)
('montague earl PERSON', 1)
('monstrat causam subsequen videlicet PERSON', 1)
('monsieur de la rue ORG', 1)
("monsier de count ' PERSON", 1)
('monmouths clarkenwell-house PERSON', 1)
('monmouth caishobury ORG', 1)
('monmouth anno PERSON', 1)
('monarchiam constantine PERSON', 1)
('mollington GPE', 1)
('moilealy hills PERSON', 1)
('misericordia placita coram ORG', 1)
('milton north-alerton PERSON', 1)
("millard al' PERSON", 1)
('millan GPE', 1)
("miinheer fagel's PERSON", 1)
('miers PERSON', 1)
('midsummer-day DATE', 1)
('midnight TIME', 1)
('midleton PERSON', 1)
('midland GPE', 1)
('mid-night TIME', 1)
('mid-day DATE', 1)
('mid winter DATE', 1)
('michael wharton PERSON', 1)
('meux PERSON', 1)
('metropolis arracan PERSON', 1)
('messina GPE', 1)
('meri NORP', 1)
('mercurie GPE', 1)
('merc ORG', 1)
('mendip hills GPE', 1)
('mendip GPE', 1)
('melis PERSON', 1)
('meliora PERSON', 1)
('medina sidonia ORG', 1)
('medina GPE', 1)
('medico PERSON', 1)
('mcha GPE', 1)
('mayotta johanna PERSON', 1)
('mayo PERSON', 1)
('may lye DATE', 1)
('maxwell ORG', 1)
('maurice viscount PERSON', 1)
('maurice bockland PERSON', 1)
('maurice bishop PERSON', 1)
('maug-bund LOC', 1)
('matthew andrews knight thomas PERSON', 1)
('materiam PERSON', 1)
('massilians NORP', 1)
('mason versus beldham trin ORG', 1)
("mary king henry's PERSON", 1)
('martha PERSON', 1)
('marriagesin GPE', 1)
('marle vaudemont blawmount ORG', 1)
('margery boley PERSON', 1)
('margaret catherine PERSON', 1)
('march and september DATE', 1)
('march DATE', 1)
('mar heylin PERSON', 1)
('many years last past DATE', 1)
('many of thoe years DATE', 1)
('many months DATE', 1)
('many millions CARDINAL', 1)
('many hundred years DATE', 1)
('many hours TIME', 1)
('mantuan lib PERSON', 1)
('mantua asula LOC', 1)
('mannor-house ORG', 1)
('manfredonia trano barlet ORG', 1)
('malloon DATE', 1)
('malcolm heir PERSON', 1)
('majora PERSON', 1)
('majesty king william PERSON', 1)
('maiden PERSON', 1)
('mahaden GPE', 1)
('madness french academy p herbertshall ORG', 1)
('madeira st jago annobon cabenda ORG', 1)
('macklefield PERSON', 1)
('machlin GPE', 1)
('machinati sunt regime non posse de eisdem ORG', 1)
('macedon zeno bonosus PERSON', 1)
('macclesfield conway-house ORG', 1)
('macao GPE', 1)
('lyn regis ORG', 1)
('lutterell ORG', 1)
('lutterel ORG', 1)
('luther PERSON', 1)
('ludovic se PERSON', 1)
('luddington GPE', 1)
('ludbury ORG', 1)
('luculentum novum ORG', 1)
('luckington ORG', 1)
('lucia PERSON', 1)
('lucan NORP', 1)
('loys de lour pais PERSON', 1)
('loyola broach PERSON', 1)
('longford earl PERSON', 1)
('longer than DATE', 1)
('londonderry earl PERSON', 1)
('london-house ORG', 1)
('london york GPE', 1)
('london city GPE', 1)
('lodington GPE', 1)
('lockington PERSON', 1)
('lizardsa GPE', 1)
('livii lib PERSON', 1)
('littleton osbalston PERSON', 1)
('littleton PERSON', 1)
('lithuania GPE', 1)
('linton milton PERSON', 1)
('linguis duodecim PERSON', 1)
('lindsay st albans-house ORG', 1)
('lincoln-colledge ORG', 1)
('lincoln city GPE', 1)
('limmington GPE', 1)
('limington henry dawley ORG', 1)
('limerick kilkenny PERSON', 1)
('lifford ORG', 1)
("libris sterling' PERSON", 1)
('lib tit satyr PERSON', 1)
('lib tit PERSON', 1)
('lib quintil PERSON', 1)
('lib number PERSON', 1)
("lib leigh's PERSON", 1)
('lib cyprian lib PERSON', 1)
('lib cui tit PERSON', 1)
('lib ch council ORG', 1)
('lewisham river LOC', 1)
('lewis xi PERSON', 1)
('lewis watson PERSON', 1)
('lewis thomas pelham PERSON', 1)
('lewis stukley PERSON', 1)
('lewis earl PERSON', 1)
('lewis de hero PERSON', 1)
('less than two CARDINAL', 1)
('less than twenty years DATE', 1)
('less than thirds CARDINAL', 1)
('less than ten years DATE', 1)
('less than six pence MONEY', 1)
('less than seven years DATE', 1)
('less than one million CARDINAL', 1)
('less than one hour TIME', 1)
('less than months DATE', 1)
('less than hours TIME', 1)
('less than half CARDINAL', 1)
('less than four hours TIME', 1)
('less than eight years DATE', 1)
('less than an hundred years DATE', 1)
('less than a month DATE', 1)
('less than a million CARDINAL', 1)
('lesae ORG', 1)
("leonard brown's PERSON", 1)
('lemuel kingdon PERSON', 1)
('leitrim county GPE', 1)
('legume convenientiam PERSON', 1)
('leaving many hundreds CARDINAL', 1)
('leatheris PERSON', 1)
('le dit ORG', 1)
('lawson PERSON', 1)
('lawrence braddon PERSON', 1)
('lawrence arch PERSON', 1)
('latter days DATE', 1)
('latin sericum GPE', 1)
('latin greek NORP', 1)
('latin french NORP', 1)
('last years DATE', 1)
('langley earl PERSON', 1)
('lancelot addison ORG', 1)
('lancaster earl PERSON', 1)
('lacedemonian NORP', 1)
('la debitum LOC', 1)
('kyneton GPE', 1)
('knights in ORG', 1)
('knights ORG', 1)
('knight william hales PERSON', 1)
('knight william ceney esq PERSON', 1)
('knight walter ORG', 1)
('knight thomas walker PERSON', 1)
('knight thomas earl PERSON', 1)
('knight thomas bennet PERSON', 1)
('knight thomas PERSON', 1)
('knight suffolk PERSON', 1)
('knight robert PERSON', 1)
('knight peter rich PERSON', 1)
('knight nicholas raynton ORG', 1)
('knight john wildman PERSON', 1)
('knight john PERSON', 1)
('knight hill ORG', 1)
('knight henry vincent esq PERSON', 1)
('knight henry powle esq ORG', 1)
('knight henry mounson esq PERSON', 1)
('knight henry marsden PERSON', 1)
('knight henry guy PERSON', 1)
('knight george evelyn PERSON', 1)
('knight ferdinando gorges gent ORG', 1)
('knight ferdinando gorges ORG', 1)
('knight ferdinand gorges gent ORG', 1)
('knight ferdinand gorges ORG', 1)
('knight edward rigby PERSON', 1)
('knight cross ORG', 1)
('kitchin-grease PERSON', 1)
('kinsman GPE', 1)
("kingdom'id PERSON", 1)
("king's ORG", 1)
('king stephen the council ORG', 1)
('king henry complaining ORG', 1)
('king hampton ORG', 1)
("king h's ORG", 1)
('king h ORG', 1)
('king edwards ORG', 1)
('king edwards FAC', 1)
('king edward highly ORG', 1)
('king edward ORG', 1)
("king charles's ORG", 1)
('kin LAW', 1)
('kimchi GPE', 1)
('kilton PERSON', 1)
('kilmurrey PERSON', 1)
('killington richard carew ORG', 1)
('killington GPE', 1)
('killham PERSON', 1)
('killard collooney sentry ORG', 1)
('kilkenny city GPE', 1)
('kildare earl PERSON', 1)
('keturah gen PERSON', 1)
('keturah PERSON', 1)
('ketton GPE', 1)
('keswick GPE', 1)
('kerkelike sicken PERSON', 1)
('kenwolf king PERSON', 1)
('kenwald king PERSON', 1)
('kenneth king of PERSON', 1)
('kennerdale mesh ORG', 1)
('kennerdale brason PERSON', 1)
('kendrick PERSON', 1)
('keinton GPE', 1)
('k william GPE', 1)
('k jam ORG', 1)
('juxta se posita PERSON', 1)
('juxta fiduciam PERSON', 1)
('juxta PERSON', 1)
('justitiae PERSON', 1)
('justiciario PERSON', 1)
('justiciariis PERSON', 1)
('justice williams PERSON', 1)
('juro ireland GPE', 1)
('jura naturalia ORG', 1)
('june to september DATE', 1)
('jun knight henry powle PERSON', 1)
('julie clari PERSON', 1)
('julians NORP', 1)
('juliam PERSON', 1)
('judicat lib tit PERSON', 1)
('juan da nova PERSON', 1)
('joseph washington esq PERSON', 1)
('joseph washington PERSON', 1)
('joseph tredenham knight henry PERSON', 1)
('joseph tredenham knight PERSON', 1)
('joseph martin PERSON', 1)
('joseph ash bar maurice PERSON', 1)
('joseph ash PERSON', 1)
('jonathan rashly PERSON', 1)
('jonathan rashlegh PERSON', 1)
('jonathan keat PERSON', 1)
('johnson hath PERSON', 1)
('johnathan trelawney PERSON', 1)
('john wyburn PERSON', 1)
('john wright francis fresham PERSON', 1)
('john worlidge PERSON', 1)
('john woolryche PERSON', 1)
('john windham esq PERSON', 1)
('john win PERSON', 1)
('john wickliff PERSON', 1)
('john warren earl PERSON', 1)
('john viscount narbon PERSON', 1)
('john viscount beamont PERSON', 1)
('john upton PERSON', 1)
('john turton PERSON', 1)
('john turner PERSON', 1)
('john trevor PERSON', 1)
('john thurhane PERSON', 1)
('john tewsbury PERSON', 1)
('john temples PERSON', 1)
('john tamworth PERSON', 1)
('john surnamed amersham PERSON', 1)
('john surnamed PERSON', 1)
('john storey PERSON', 1)
('john stanly PERSON', 1)
('john st barb PERSON', 1)
('john st aubin PERSON', 1)
('john speak PERSON', 1)
('john smith PERSON', 1)
('john shipley PERSON', 1)
('john shadworth PERSON', 1)
('john sedington PERSON', 1)
('john scrivener PERSON', 1)
('john robotham PERSON', 1)
('john robert PERSON', 1)
('john richard PERSON', 1)
('john rerethy PERSON', 1)
('john purrey PERSON', 1)
('john pton PERSON', 1)
('john prittiman PERSON', 1)
('john popham PERSON', 1)
('john polexfen PERSON', 1)
('john pelham PERSON', 1)
('john patrick PERSON', 1)
('john patescul PERSON', 1)
('john oxonton PERSON', 1)
('john otway PERSON', 1)
('john old PERSON', 1)
("john newton al' PERSON", 1)
('john newman PERSON', 1)
('john nay PERSON', 1)
('john moubray earl PERSON', 1)
('john morris PERSON', 1)
('john morgan rice PERSON', 1)
('john morgan PERSON', 1)
('john michell PERSON', 1)
('john michel PERSON', 1)
('john michael PERSON', 1)
('john mallet PERSON', 1)
('john machell PERSON', 1)
("john lloid's PERSON", 1)
('john lewkner PERSON', 1)
('john lewkener PERSON', 1)
('john lepton PERSON', 1)
('john lawson PERSON', 1)
('john lawrence PERSON', 1)
('john lassets PERSON', 1)
('john lanier PERSON', 1)
('john lambert william PERSON', 1)
('john lambert PERSON', 1)
("john knight's PERSON", 1)
('john knight john lawford PERSON', 1)
('john kent PERSON', 1)
('john kendal PERSON', 1)
('john kelland PERSON', 1)
('john josselin PERSON', 1)
('john jones PERSON', 1)
('john jefferies PERSON', 1)
('john howard PERSON', 1)
('john houghton PERSON', 1)
('john holt PERSON', 1)
('john holms PERSON', 1)
('john holmes knight PERSON', 1)
('john hartman PERSON', 1)
('john hanmer PERSON', 1)
('john hampton PERSON', 1)
('john hampdem PERSON', 1)
('john hall PERSON', 1)
('john hales PERSON', 1)
('john gwillim PERSON', 1)
('john grey esq PERSON', 1)
('john grey earl PERSON', 1)
('john grey PERSON', 1)
('john green PERSON', 1)
('john gray PERSON', 1)
('john gonsalvo PERSON', 1)
('john goldsburrow PERSON', 1)
('john goddard PERSON', 1)
('john gerard esq PERSON', 1)
('john gates PERSON', 1)
('john friend PERSON', 1)
('john freeman PERSON', 1)
('john fred thomas PERSON', 1)
("john finett's PERSON", 1)
('john figuora PERSON', 1)
('john felton PERSON', 1)
('john emerton PERSON', 1)
('john elliot PERSON', 1)
('john elizabeth PERSON', 1)
('john earnly PERSON', 1)
('john dw viscount PERSON', 1)
('john dorrell PERSON', 1)
('john dorrel PERSON', 1)
('john dolben PERSON', 1)
('john dighton PERSON', 1)
('john denby PERSON', 1)
('john de warren earl PERSON', 1)
('john daille PERSON', 1)
('john coryton PERSON', 1)
('john cope PERSON', 1)
('john conyers PERSON', 1)
('john collthrop PERSON', 1)
('john collins PERSON', 1)
('john clayton PERSON', 1)
('john chichley PERSON', 1)
('john chicheley knight PERSON', 1)
('john chevelet PERSON', 1)
('john button PERSON', 1)
("john brown's PERSON", 1)
('john briton PERSON', 1)
('john brahmin PERSON', 1)
('john bradshaw PERSON', 1)
('john bradford PERSON', 1)
('john bourchier earl PERSON', 1)
('john bland PERSON', 1)
('john blage PERSON', 1)
('john blackmore PERSON', 1)
('john barker PERSON', 1)
('john baliol PERSON', 1)
('john b PERSON', 1)
('john ashburnham PERSON', 1)
('john ash esq PERSON', 1)
('john alford PERSON', 1)
('johanne povey PERSON', 1)
('johanna PERSON', 1)
('joannem dallaeum de PERSON', 1)
('jo north sam helsham PERSON', 1)
('jo leslie de moribus PERSON', 1)
('jo davies PERSON', 1)
('jerusalem GPE', 1)
('jen PERSON', 1)
('jehu GPE', 1)
('jealouy GPE', 1)
('javoux abbey PERSON', 1)
('jasper earl PERSON', 1)
('japonians NORP', 1)
('jane lane PERSON', 1)
('jane boughton PERSON', 1)
('james terril PERSON', 1)
('james rushout PERSON', 1)
('james oxinden knight PERSON', 1)
('james oxenden PERSON', 1)
('james morton PERSON', 1)
('james marsh PERSON', 1)
('james lord annelley PERSON', 1)
('james long bar PERSON', 1)
('james long PERSON', 1)
('james king of PERSON', 1)
('james johnson knight george england PERSON', 1)
('james ireland PERSON', 1)
('james fits morris ORG', 1)
('james cuff PERSON', 1)
('james bourchier PERSON', 1)
('james bainham PERSON', 1)
('james bagot PERSON', 1)
("james baggs's PERSON", 1)
('james alderman PERSON', 1)
('james afterwards PERSON', 1)
('james abbes PERSON', 1)
('jacobi nuper PERSON', 1)
('ja p dr b PERSON', 1)
('iveson GPE', 1)
('italia GPE', 1)
('islington hoxdon ORG', 1)
('isaaci vossii ORG', 1)
('isa ORG', 1)
('irving ORG', 1)
('ireland p bank ORG', 1)
('ipsi ORG', 1)
('inth ORDINAL', 1)
('interpretari quam exequi ORG', 1)
('insidiae ORG', 1)
('inserta GPE', 1)
("insert receiv' PERSON", 1)
("inmb'dtho ORG", 1)
('injuriam non negligent PERSON', 1)
('iniquit quem PERSON', 1)
('ingenio utebatur PERSON', 1)
('indoston ORG', 1)
('indoston GPE', 1)
('indiathese NORP', 1)
('indiaan CARDINAL', 1)
('india arabia GPE', 1)
('inchiquin earl PERSON', 1)
('in little above years DATE', 1)
('imposito GPE', 1)
('imerick GPE', 1)
('icenians NORP', 1)
('hyley hyley PERSON', 1)
('hyley hinton ORG', 1)
('hyley PERSON', 1)
('hutton GPE', 1)
('hutchinson PERSON', 1)
('husbandsa reason PERSON', 1)
('huntington william ramsay FAC', 1)
('huntington PERSON', 1)
('hundreds of years DATE', 1)
('hundreds of miles QUANTITY', 1)
('hundreds of acres QUANTITY', 1)
('hundred years DATE', 1)
('hundred pounds MONEY', 1)
('humillime mitto certifico ORG', 1)
('hugh piper PERSON', 1)
('hugh earl PERSON', 1)
("howard's council ORG", 1)
('hovendon PERSON', 1)
('hourly TIME', 1)
('horsehdm anthony PERSON', 1)
('hornby PERSON', 1)
('hoosan potshaw PERSON', 1)
('honisoit GPE', 1)
('hollandiae zelandiae PERSON', 1)
('holderness newborough abbey ORG', 1)
('hobbian NORP', 1)
('ho-la PERSON', 1)
('ho PERSON', 1)
('histria GPE', 1)
('historiam quote nec PERSON', 1)
('historiam institute PERSON', 1)
('his years DATE', 1)
('his sixth year DATE', 1)
('his quarters DATE', 1)
('his past years DATE', 1)
('his ninth year DATE', 1)
("hinton al' PERSON", 1)
('hinton ORG', 1)
('hinton GPE', 1)
('hindon ludgarsale PERSON', 1)
('hill jacobi PERSON', 1)
('hill PERSON', 1)
('hihgest at full sea ORG', 1)
('heydon henry guy PERSON', 1)
('heydon GPE', 1)
('hessia GPE', 1)
('herman PERSON', 1)
('hereof PERSON', 1)
('hereford bridstock hartford esq ORG', 1)
('herbert baltimore PERSON', 1)
('her days DATE', 1)
('her day called moonday DATE', 1)
('henslow ORG', 1)
('henry vane PERSON', 1)
('henry trenchard PERSON', 1)
('henry thomson PERSON', 1)
('henry thompson knight PERSON', 1)
('henry th PERSON', 1)
('henry surnamed hotspur son PERSON', 1)
('henry slingsby PERSON', 1)
('henry savill PERSON', 1)
('henry q elizabeth PERSON', 1)
('henry pool PERSON', 1)
('henry pierce PERSON', 1)
('henry nevel PERSON', 1)
('henry marquess PERSON', 1)
('henry lacy earl PERSON', 1)
('henry knevet PERSON', 1)
('henry jones PERSON', 1)
('henry jernington PERSON', 1)
('henry jerningham PERSON', 1)
('henry infanto PERSON', 1)
('henry hyde PERSON', 1)
('henry honing PERSON', 1)
('henry hobart PERSON', 1)
('henry herbert esq PERSON', 1)
('henry henly PERSON', 1)
('henry henley esq PERSON', 1)
('henry grey marquess PERSON', 1)
('henry geoffry PERSON', 1)
('henry fitz PERSON', 1)
('henry finch PERSON', 1)
('henry filmer PERSON', 1)
('henry cornish PERSON', 1)
('henry chicheley PERSON', 1)
('henry calverly knight PERSON', 1)
('henry calverly PERSON', 1)
('henry bertie PERSON', 1)
('henry batson benjamin PERSON', 1)
('henry baton benjamin PERSON', 1)
('henry baker PERSON', 1)
('henry ashhurst PERSON', 1)
('henry afterword king of PERSON', 1)
('henrico long PERSON', 1)
('henrico GPE', 1)
('hemsey PERSON', 1)
('hellespont GPE', 1)
('helbott thompson PERSON', 1)
('hebrew NORP', 1)
('hatton PERSON', 1)
('hatfield hartford PERSON', 1)
('harold anno PERSON', 1)
('hans NORP', 1)
("hang' ORG", 1)
('hampton court ORG', 1)
('hampson PERSON', 1)
('hampshire limington PERSON', 1)
('hamburg GPE', 1)
('hall oulston hall aldwark ORG', 1)
('hali none PERSON', 1)
('half quarter eighths DATE', 1)
('half dozen CARDINAL', 1)
('half a year DATE', 1)
('half a mile QUANTITY', 1)
('haberet executionem suam PERSON', 1)
('guynne esq PERSON', 1)
('guilford richard FAC', 1)
('guilford morgan randyl ORG', 1)
('guilford ORG', 1)
('grimsby william broxolme PERSON', 1)
('grimsby william broxholm PERSON', 1)
('grimsby saltfleet boston ORG', 1)
('grey de civitate dublin ORG', 1)
('grey boughton PERSON', 1)
('gregory PERSON', 1)
('green berry PERSON', 1)
("great britain' GPE", 1)
("grandeur several gelva's ORG", 1)
('grafton ORG', 1)
('gowns ps PERSON', 1)
('govern ireland GPE', 1)
('gore hyley PERSON', 1)
('goodier smith versus pierce ORG', 1)
('gold matts ps WORK_OF_ART', 1)
('golconda GPE', 1)
('godfrey copley ORG', 1)
('gloucester teuksbury PERSON', 1)
('giles hungerford knight PERSON', 1)
('gildam PERSON', 1)
('gilbert sheldon PERSON', 1)
('gilbert mphrevile PERSON', 1)
('gilbert mphervile PERSON', 1)
('gervas PERSON', 1)
('geron aden PERSON', 1)
('gerard gore esq PERSON', 1)
('georgia GPE', 1)
('george warburton PERSON', 1)
('george wakeman PERSON', 1)
('george treby knight PERSON', 1)
('george sheers PERSON', 1)
("george reynell's PERSON", 1)
('george ratcliffe PERSON', 1)
('george lisle PERSON', 1)
('george johnson PERSON', 1)
('george fletcher PERSON', 1)
('george england PERSON', 1)
('george earl PERSON', 1)
('george cook PERSON', 1)
('george boucher PERSON', 1)
('george ascough PERSON', 1)
('generalia PERSON', 1)
('general council ORG', 1)
('geese NORP', 1)
('gaveston GPE', 1)
('gaunt PERSON', 1)
('garrisons york GPE', 1)
('gamelford NORP', 1)
('gallicis PERSON', 1)
('galena ORG', 1)
('g h PERSON', 1)
('friday june DATE', 1)
('franciscans NORP', 1)
('francis winington knight PERSON', 1)
('francis stonehouse PERSON', 1)
('francis pemberton PERSON', 1)
('francis michael PERSON', 1)
('francis lutterell PERSON', 1)
('francis lutterel esq PERSON', 1)
('francis friscobald PERSON', 1)
('francis douee PERSON', 1)
('francis dorrington esq PERSON', 1)
('francis creswick PERSON', 1)
('francis clerk PERSON', 1)
('francis charlton PERSON', 1)
('francis charleton PERSON', 1)
('france ireland GPE', 1)
("fr w's PERSON", 1)
('fourteen years of age and a years DATE', 1)
('fourteen years ago DATE', 1)
('fourteen thousand pounds QUANTITY', 1)
('fourteen hours TIME', 1)
('four-pence MONEY', 1)
('four to one CARDINAL', 1)
('four thousand years DATE', 1)
('four thousand pound QUANTITY', 1)
('four thousand one hundred DATE', 1)
('four thousand guilders MONEY', 1)
('four pound QUANTITY', 1)
('four or five years DATE', 1)
('four or five foot QUANTITY', 1)
('four or five days DATE', 1)
('four or CARDINAL', 1)
('four millions five hundred MONEY', 1)
('four millions CARDINAL', 1)
('four hundred thousand pounds QUANTITY', 1)
('four hundred thirty six acres CARDINAL', 1)
('four hundred marks MONEY', 1)
('four hundred and fifty CARDINAL', 1)
('four and twenty foot QUANTITY', 1)
('fothree years DATE', 1)
('forty years agony DATE', 1)
('forty two QUANTITY', 1)
('forty three CARDINAL', 1)
('forty seven DATE', 1)
('forty pence MONEY', 1)
('forty or fifty pound QUANTITY', 1)
('forty one QUANTITY', 1)
('forty one DATE', 1)
('forty hours TIME', 1)
('forty four years DATE', 1)
('forty four TIME', 1)
('forty five years DATE', 1)
('forty eight foot QUANTITY', 1)
('fortune cardinal wolsey ORG', 1)
('fortieth ORDINAL', 1)
('fort st george ORG', 1)
('forg ORG', 1)
('foederi quote anglia cum burgundica ORG', 1)
('fnb ORG', 1)
('five weeks DATE', 1)
('five thousand pound QUANTITY', 1)
('five pound QUANTITY', 1)
('five or six ten DATE', 1)
('five or six hundred thousand pound DATE', 1)
('five or six hours TIME', 1)
('five or TIME', 1)
('five months old DATE', 1)
('five miles QUANTITY', 1)
('five marks MONEY', 1)
('five hundred twenty five CARDINAL', 1)
('five hundred thousand ducats CARDINAL', 1)
('five hundred thousand CARDINAL', 1)
('five hundred or a thousand pounds CARDINAL', 1)
('five hundred or a thousand CARDINAL', 1)
('five hundred miles QUANTITY', 1)
('five hundred dollars MONEY', 1)
('five hours TIME', 1)
('fitz-harris PRODUCT', 1)
('firmin ORG', 1)
('fifty years of age this DATE', 1)
('fifty thousand pounds QUANTITY', 1)
('fifty thousand CARDINAL', 1)
('fifty six years DATE', 1)
('fifty pound QUANTITY', 1)
('fifty or sixty CARDINAL', 1)
('fifty ninth DATE', 1)
('fifties DATE', 1)
('fifteen years of age DATE', 1)
('fifteen thousand pounds QUANTITY', 1)
('fifteen or twenty CARDINAL', 1)
('fifteen nights DATE', 1)
('fifteen inches QUANTITY', 1)
('fifteen hundred thousand pounds MONEY', 1)
('fifteen hundred thousand guilders MONEY', 1)
('fifteen hundred thousand CARDINAL', 1)
('fifteen hundred thouand pounds QUANTITY', 1)
('fifteen DATE', 1)
('fideli conciliario nostro ORG', 1)
('ffa anno doom PERSON', 1)
('festivalsevery year DATE', 1)
('ferrari CARDINAL', 1)
('felo de se vet PERSON', 1)
('felo de se the kings council PERSON', 1)
('felo de se his PERSON', 1)
